C,NEMP.WORLD,NEXT_DAY_ACTUAL_GEN,AEMO,PUBLIC,2020/02/08,04:10:20,0000000318798762,NEXT_DAY_ACTUAL_GEN,0000000318798762
I,METER_DATA,GEN_DUID,1,INTERVAL_DATETIME,DUID,MWH_READING,LASTCHANGED
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",RUBICON,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",SATGN1,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",SATGS1,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",STARHLWF,21.793644,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",WAUBRAWF,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",WOOLNTH1,28.730015,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",WPWF,67,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",YAMBUKWF,2,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:15:00",YSWF1,0,"2020/02/07 04:10:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",BARCSF1,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",BUTLERSG,-0.000002,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",CALL_A_4,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",CAPTL_WF,46.268005,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",CATHROCK,17.929998,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",CHALLHWF,2.50,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",CLOVER,-0.01,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",CLUNY,5.962463,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",CNUNDAWF,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",CULLRGWF,22.889999,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",ERGT01,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",GB01,-0.050449,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",GERMCRK,37.599998,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",GRIFSF1,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",HUGSF1,-0.1710,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",LKBONNY1,-0.270719,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",LRSF1,-0.0330,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",MBAHNTH,35.456253,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",MLSP1,0.305001,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",MLWF1,0.03,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",MTMILLAR,-0.241843,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",PALOONA,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",PIONEER,30.10,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",PORTWF,-0.40,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",REPULSE,10.235142,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",ROWALLAN,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",ROYALLA1,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",RPCG,-0.60,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",RUBICON,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",SATGN1,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",SATGS1,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",STARHLWF,19.294374,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",WAUBRAWF,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",WOOLNTH1,28.120016,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",WPWF,62,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",YAMBUKWF,3,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:20:00",YSWF1,0,"2020/02/07 04:15:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",BARCSF1,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",BUTLERSG,-0.000002,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",CALL_A_4,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",CAPTL_WF,46.987999,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",CATHROCK,16.859999,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",CHALLHWF,1.90,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",CLOVER,-0.02,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",CLUNY,5.967041,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",CNUNDAWF,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",CULLRGWF,19.49,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",ERGT01,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",GB01,-0.048683,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",GERMCRK,34,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",GRIFSF1,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",HUGSF1,-0.1710,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",LKBONNY1,-0.270719,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",LRSF1,-0.0330,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",MBAHNTH,34.818748,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",MLSP1,0.305001,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",MLWF1,0.03,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",MTMILLAR,-0.241843,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",PALOONA,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",PIONEER,30.90,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",PORTWF,-0.30,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",REPULSE,10.318151,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",ROWALLAN,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",ROYALLA1,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",RPCG,-0.60,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",RUBICON,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",SATGN1,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",SATGS1,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",STARHLWF,17.994753,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",WAUBRAWF,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",WOOLNTH1,25.460014,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",WPWF,56,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",YAMBUKWF,2.10,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:25:00",YSWF1,0,"2020/02/07 04:20:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",BARCSF1,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",BUTLERSG,-0.000002,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",CALL_A_4,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",CAPTL_WF,46.332001,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",CATHROCK,23.539999,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",CHALLHWF,1.50,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",CLOVER,-0.02,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",CLUNY,5.953307,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",CNUNDAWF,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",CULLRGWF,18.280001,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",ERGT01,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",GB01,-0.048683,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",GERMCRK,34.200001,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",GRIFSF1,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",HUGSF1,-0.1710,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",LKBONNY1,-0.270719,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",LRSF1,-0.0330,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",MBAHNTH,34.931252,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",MLSP1,0.305001,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",MLWF1,0.03,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",MTMILLAR,-0.241843,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",PALOONA,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",PIONEER,30.60,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",PORTWF,-0.30,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",REPULSE,10.401159,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",ROWALLAN,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",ROYALLA1,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",RPCG,-0.60,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",RUBICON,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",SATGN1,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",SATGS1,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",STARHLWF,19.094433,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",WAUBRAWF,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",WOOLNTH1,25.690016,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",WPWF,54,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",YAMBUKWF,2.80,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:30:00",YSWF1,0,"2020/02/07 04:25:03"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:35:00",BARCSF1,0,"2020/02/07 04:30:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:35:00",BUTLERSG,-0.000002,"2020/02/07 04:30:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:35:00",CALL_A_4,0,"2020/02/07 04:30:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:35:00",CAPTL_WF,42.860001,"2020/02/07 04:30:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:35:00",CATHROCK,21.459999,"2020/02/07 04:30:04"
D,METER_DATA,GEN_DUID,1,"2020/02/07 04:35:00",CHALLHWF,1.20,"2020/02/07 04:30:04"
